scenario_id,scenario_name,category,meter,foot_count,rhyme_scheme,config_label,config_description,seed,meter_accuracy,rhyme_accuracy,regeneration_success,semantic_relevance,num_iterations,num_lines,duration_sec,input_tokens,output_tokens,total_tokens,estimated_cost_usd,iteration_tokens,error
N01,"Весна в лісі (ямб, 4 стопи, ABAB)",normal,ямб,4,ABAB,A,"Baseline (LLM + validator, no RAG, no feedback)",0,1.000000,1.000000,0.000000,0.563149,0,4,87.328,783,9751,10534,0.118578,it=0:in=783:out=9751,
N01,"Весна в лісі (ямб, 4 стопи, ABAB)",normal,ямб,4,ABAB,B,LLM + Val + Feedback (no RAG),0,1.000000,1.000000,0.000000,0.516638,0,4,66.979,783,7296,8079,0.089118,it=0:in=783:out=7296,
N01,"Весна в лісі (ямб, 4 стопи, ABAB)",normal,ямб,4,ABAB,C,Semantic RAG + Val + Feedback,0,1.000000,1.000000,1.000000,0.575006,1,4,255.027,2832,15899,18731,0.196452,"it=0:in=1647:out=6382,it=1:in=1185:out=9517",
N01,"Весна в лісі (ямб, 4 стопи, ABAB)",normal,ямб,4,ABAB,D,Metric Examples + Val + Feedback,0,1.000000,1.000000,0.000000,0.579555,0,4,86.149,899,9903,10802,0.120634,it=0:in=899:out=9903,
N01,"Весна в лісі (ямб, 4 стопи, ABAB)",normal,ямб,4,ABAB,E,Full system (semantic + metric examples + val + feedback),0,1.000000,1.000000,1.000000,0.583088,1,4,105.896,2637,11900,14537,0.148074,"it=0:in=1763:out=7911,it=1:in=874:out=3989",
N01,"Весна в лісі (ямб, 4 стопи, ABAB)",normal,ямб,4,ABAB,F,Semantic RAG + Val (no feedback) — pure RAG effect,0,0.750000,1.000000,0.000000,0.562529,0,4,80.210,1647,9158,10805,0.113190,it=0:in=1647:out=9158,
N01,"Весна в лісі (ямб, 4 стопи, ABAB)",normal,ямб,4,ABAB,G,Metric Examples + Val (no feedback) — pure metric-examples effect,0,1.000000,1.000000,0.000000,0.556576,0,4,24.104,899,2801,3700,0.035410,it=0:in=899:out=2801,
N01,"Весна в лісі (ямб, 4 стопи, ABAB)",normal,ямб,4,ABAB,H,Semantic + Metric Examples + Val (no feedback) — pure combined effect,0,1.000000,1.000000,0.000000,0.570092,0,4,67.312,1763,9188,10951,0.113782,it=0:in=1763:out=9188,
N02,"Кохання (хорей, 4 стопи, AABB)",normal,хорей,4,AABB,A,"Baseline (LLM + validator, no RAG, no feedback)",0,1.000000,1.000000,0.000000,0.409960,0,4,38.350,788,4344,5132,0.053704,it=0:in=788:out=4344,
N02,"Кохання (хорей, 4 стопи, AABB)",normal,хорей,4,AABB,B,LLM + Val + Feedback (no RAG),0,1.000000,1.000000,1.000000,0.332339,1,4,63.127,1653,6769,8422,0.084534,"it=0:in=788:out=2621,it=1:in=865:out=4148",
N02,"Кохання (хорей, 4 стопи, AABB)",normal,хорей,4,AABB,C,Semantic RAG + Val + Feedback,0,1.000000,1.000000,0.000000,0.430658,0,4,31.320,1780,3383,5163,0.044156,it=0:in=1780:out=3383,
N02,"Кохання (хорей, 4 стопи, AABB)",normal,хорей,4,AABB,D,Metric Examples + Val + Feedback,0,1.000000,1.000000,0.000000,0.472278,0,4,49.967,949,5754,6703,0.070946,it=0:in=949:out=5754,
N02,"Кохання (хорей, 4 стопи, AABB)",normal,хорей,4,AABB,E,Full system (semantic + metric examples + val + feedback),0,1.000000,1.000000,0.000000,0.408691,0,4,22.185,1941,2329,4270,0.031830,it=0:in=1941:out=2329,
N02,"Кохання (хорей, 4 стопи, AABB)",normal,хорей,4,AABB,F,Semantic RAG + Val (no feedback) — pure RAG effect,0,1.000000,1.000000,0.000000,0.478561,0,4,58.086,1780,8337,10117,0.103604,it=0:in=1780:out=8337,
N02,"Кохання (хорей, 4 стопи, AABB)",normal,хорей,4,AABB,G,Metric Examples + Val (no feedback) — pure metric-examples effect,0,1.000000,1.000000,0.000000,0.381453,0,4,32.685,949,3782,4731,0.047282,it=0:in=949:out=3782,
N02,"Кохання (хорей, 4 стопи, AABB)",normal,хорей,4,AABB,H,Semantic + Metric Examples + Val (no feedback) — pure combined effect,0,1.000000,1.000000,0.000000,0.376722,0,4,60.187,1941,6762,8703,0.085026,it=0:in=1941:out=6762,
N03,"Батьківщина (дактиль, 4 стопи, ABBA)",normal,дактиль,4,ABBA,A,"Baseline (LLM + validator, no RAG, no feedback)",0,1.000000,0.500000,0.000000,0.358600,0,4,78.821,785,9541,10326,0.116062,it=0:in=785:out=9541,
N03,"Батьківщина (дактиль, 4 стопи, ABBA)",normal,дактиль,4,ABBA,B,LLM + Val + Feedback (no RAG),0,1.000000,1.000000,0.000000,0.576280,0,4,81.127,785,9463,10248,0.115126,it=0:in=785:out=9463,
N03,"Батьківщина (дактиль, 4 стопи, ABBA)",normal,дактиль,4,ABBA,C,Semantic RAG + Val + Feedback,0,1.000000,1.000000,1.000000,0.410149,1,4,255.267,2576,15720,18296,0.193792,"it=0:in=1681:out=11488,it=1:in=895:out=4232",
N03,"Батьківщина (дактиль, 4 стопи, ABBA)",normal,дактиль,4,ABBA,D,Metric Examples + Val + Feedback,0,1.000000,1.000000,0.000000,0.347277,0,4,65.456,920,7809,8729,0.095548,it=0:in=920:out=7809,
N03,"Батьківщина (дактиль, 4 стопи, ABBA)",normal,дактиль,4,ABBA,E,Full system (semantic + metric examples + val + feedback),0,1.000000,1.000000,0.000000,0.422235,0,4,39.675,1816,4771,6587,0.060884,it=0:in=1816:out=4771,
N03,"Батьківщина (дактиль, 4 стопи, ABBA)",normal,дактиль,4,ABBA,F,Semantic RAG + Val (no feedback) — pure RAG effect,0,0.750000,1.000000,0.000000,0.423167,0,4,97.683,1681,11315,12996,0.139142,it=0:in=1681:out=11315,
N03,"Батьківщина (дактиль, 4 стопи, ABBA)",normal,дактиль,4,ABBA,G,Metric Examples + Val (no feedback) — pure metric-examples effect,0,1.000000,0.500000,0.000000,0.362954,0,4,65.395,920,7689,8609,0.094108,it=0:in=920:out=7689,
N03,"Батьківщина (дактиль, 4 стопи, ABBA)",normal,дактиль,4,ABBA,H,Semantic + Metric Examples + Val (no feedback) — pure combined effect,0,1.000000,1.000000,0.000000,0.506842,0,4,79.008,1816,9503,11319,0.117668,it=0:in=1816:out=9503,
